Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue
Existing Customer,50,M,2,Graduate,Single,$120K +,Blue
Existing Customer,55,F,1,Doctorate,Married,Less than $40K,Blue
Existing Customer,53,M,1,High School,Married,$80K - $120K,Blue
Existing Customer,47,F,3,High School,Single,$40K - $60K,Blue
Existing Customer,55,M,2,College,Single,$120K +,Silver
Existing Customer,47,M,3,Graduate,Single,$60K - $80K,Blue
Existing Customer,58,M,4,Graduate,Single,$120K +,Blue
Attrited Customer,53,M,2,Graduate,Married,$80K - $120K,Blue
Existing Customer,52,M,2,High School,Single,$40K - $60K,Blue
Existing Customer,50,F,1,Uneducated,Unknown,Less than $40K,Silver
Existing Customer,42,F,1,Graduate,Married,Less than $40K,Blue
Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue
Existing Customer,57,M,4,Graduate,Married,$80K - $120K,Blue
Existing Customer,52,M,1,Graduate,Married,$80K - $120K,Blue
Existing Customer,47,M,2,Doctorate,Single,Less than $40K,Blue
Existing Customer,44,F,3,Graduate,Single,$40K - $60K,Blue
Existing Customer,53,M,2,High School,Divorced,$60K - $80K,Blue
Existing Customer,45,M,4,College,Divorced,$60K - $80K,Blue
Existing Customer,63,F,1,College,Married,Unknown,Blue
Existing Customer,39,F,2,Post-Graduate,Single,Less than $40K,Blue
Attrited Customer,48,F,5,High School,Married,Less than $40K,Blue
Existing Customer,51,M,1,Unknown,Single,$120K +,Blue
Existing Customer,54,M,4,Graduate,Married,$80K - $120K,Blue
Existing Customer,59,F,1,Graduate,Single,Less than $40K,Blue
Attrited Customer,59,M,1,College,Single,$60K - $80K,Blue
Attrited Customer,48,F,4,Uneducated,Married,Less than $40K,Blue
Existing Customer,41,F,2,Graduate,Single,Less than $40K,Blue
Existing Customer,55,M,2,Graduate,Married,$120K +,Blue
Existing Customer,47,F,4,Graduate,Married,Unknown,Blue
Existing Customer,41,M,2,High School,Married,$80K - $120K,Blue
Existing Customer,40,M,3,High School,Single,$80K - $120K,Blue
Existing Customer,68,M,1,Graduate,Married,Unknown,Blue
Existing Customer,50,F,1,Graduate,Single,$40K - $60K,Silver
Existing Customer,47,M,4,Uneducated,Single,$60K - $80K,Blue
Existing Customer,53,F,1,College,Married,Less than $40K,Blue
Existing Customer,42,F,5,Unknown,Married,$40K - $60K,Blue
Existing Customer,48,F,4,High School,Single,$40K - $60K,Blue
Existing Customer,49,M,1,Doctorate,Married,$120K +,Blue
Existing Customer,44,F,2,Uneducated,Married,Unknown,Silver
Existing Customer,43,F,4,Graduate,Divorced,Less than $40K,Blue
Existing Customer,56,M,0,High School,Married,$80K - $120K,Blue
Existing Customer,59,F,1,College,Single,Unknown,Blue
Existing Customer,46,M,1,Uneducated,Married,$60K - $80K,Blue
Existing Customer,47,F,4,Unknown,Divorced,Less than $40K,Blue
Existing Customer,50,F,4,Uneducated,Married,$40K - $60K,Blue
Existing Customer,51,F,3,Uneducated,Married,Less than $40K,Blue
Existing Customer,47,F,3,Uneducated,Married,Less than $40K,Blue
Existing Customer,58,F,4,Uneducated,Married,Less than $40K,Blue
Attrited Customer,46,M,5,Graduate,Single,$80K - $120K,Blue
Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue
Existing Customer,45,F,4,Uneducated,Divorced,Unknown,Blue
Existing Customer,52,F,1,High School,Married,Less than $40K,Blue
Attrited Customer,53,M,2,Unknown,Married,$80K - $120K,Blue
Existing Customer,50,M,2,High School,Married,$80K - $120K,Silver
Existing Customer,41,F,3,High School,Married,$40K - $60K,Blue
Existing Customer,45,F,5,Graduate,Divorced,$40K - $60K,Blue
Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue
Existing Customer,67,F,1,Graduate,Married,Less than $40K,Blue
Existing Customer,57,F,2,Uneducated,Single,$40K - $60K,Silver
Existing Customer,59,F,1,Uneducated,Married,$40K - $60K,Blue
Existing Customer,45,M,2,Uneducated,Married,$40K - $60K,Blue
Existing Customer,51,M,3,Graduate,Married,$80K - $120K,Blue
Existing Customer,59,F,1,Uneducated,Married,Less than $40K,Blue
Existing Customer,53,M,1,Graduate,Married,$60K - $80K,Blue
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue
Existing Customer,49,F,3,Uneducated,Single,Unknown,Blue
Existing Customer,49,M,3,Post-Graduate,Single,$80K - $120K,Blue
Existing Customer,60,F,0,College,Single,Less than $40K,Blue
Existing Customer,50,F,2,High School,Married,Less than $40K,Blue
Existing Customer,41,F,2,Post-Graduate,Married,Unknown,Blue
Existing Customer,57,M,1,Graduate,Married,$80K - $120K,Blue
Existing Customer,43,M,4,Graduate,Unknown,$80K - $120K,Blue
Existing Customer,57,F,3,Graduate,Married,Less than $40K,Blue
Existing Customer,54,M,3,Doctorate,Married,$120K +,Blue
Existing Customer,51,F,5,Post-Graduate,Married,Less than $40K,Blue
Existing Customer,47,F,3,High School,Married,Less than $40K,Blue
Existing Customer,41,M,0,High School,Unknown,$120K +,Blue
Existing Customer,53,M,3,Uneducated,Married,$80K - $120K,Blue
Attrited Customer,68,M,0,High School,Married,Less than $40K,Blue
Existing Customer,59,M,1,College,Married,$60K - $80K,Blue
Existing Customer,48,M,4,Unknown,Married,$80K - $120K,Blue
Existing Customer,44,M,5,Graduate,Married,$60K - $80K,Blue
Existing Customer,48,M,3,College,Married,$80K - $120K,Blue
Existing Customer,47,M,4,Graduate,Married,$60K - $80K,Silver
Existing Customer,47,M,2,Graduate,Married,$60K - $80K,Silver
Existing Customer,43,F,1,High School,Divorced,Less than $40K,Silver
Attrited Customer,55,F,2,Graduate,Married,Less than $40K,Blue
Attrited Customer,59,M,2,Post-Graduate,Married,$60K - $80K,Blue
Existing Customer,63,M,1,Graduate,Married,$40K - $60K,Blue
Existing Customer,58,M,2,College,Married,$120K +,Blue
Existing Customer,53,F,2,High School,Married,Less than $40K,Blue
Existing Customer,59,M,0,Unknown,Unknown,$80K - $120K,Silver
Existing Customer,52,M,3,Graduate,Married,$120K +,Blue
Existing Customer,48,M,3,High School,Single,$60K - $80K,Blue
Existing Customer,43,M,4,High School,Married,$40K - $60K,Blue
Existing Customer,48,M,2,College,Single,Less than $40K,Blue
Existing Customer,43,F,4,Graduate,Single,Less than $40K,Blue
Existing Customer,44,M,4,Unknown,Married,$60K - $80K,Blue
Existing Customer,41,M,3,High School,Married,$80K - $120K,Blue
Existing Customer,44,F,3,Uneducated,Divorced,Less than $40K,Silver
Existing Customer,50,M,2,Unknown,Single,$40K - $60K,Blue
Existing Customer,60,F,1,Uneducated,Married,Less than $40K,Blue
Existing Customer,44,M,4,Graduate,Single,$80K - $120K,Blue
Existing Customer,48,F,3,Graduate,Divorced,$40K - $60K,Blue
Existing Customer,44,F,2,Graduate,Divorced,Less than $40K,Blue
Existing Customer,41,M,2,High School,Single,$80K - $120K,Blue
Existing Customer,45,M,3,College,Single,$60K - $80K,Blue
Existing Customer,47,F,2,Uneducated,Divorced,Less than $40K,Silver
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue
Existing Customer,51,M,2,Graduate,Married,$120K +,Blue
Attrited Customer,60,F,1,Uneducated,Married,$40K - $60K,Blue
Existing Customer,57,M,2,Unknown,Married,$80K - $120K,Blue
Existing Customer,41,M,5,Graduate,Single,$120K +,Blue
Existing Customer,44,M,3,Post-Graduate,Divorced,$80K - $120K,Blue
Existing Customer,43,M,1,College,Single,$60K - $80K,Blue
Existing Customer,55,M,2,College,Married,$60K - $80K,Blue
Attrited Customer,52,M,1,Uneducated,Married,$80K - $120K,Blue
Existing Customer,44,M,3,Graduate,Unknown,$80K - $120K,Blue
Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue
Existing Customer,44,M,4,Unknown,Single,$80K - $120K,Blue
Attrited Customer,53,F,2,Unknown,Married,Less than $40K,Blue
Existing Customer,39,M,2,High School,Single,$80K - $120K,Blue
Attrited Customer,49,M,5,College,Married,$40K - $60K,Blue
Attrited Customer,45,F,2,College,Married,Less than $40K,Blue
Existing Customer,54,M,2,Graduate,Married,$80K - $120K,Blue
Existing Customer,49,M,3,Uneducated,Single,$80K - $120K,Blue
Existing Customer,46,F,3,Doctorate,Single,Unknown,Blue
Attrited Customer,46,M,4,High School,Married,$120K +,Blue
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue
Existing Customer,44,M,2,Doctorate,Single,$60K - $80K,Blue
Existing Customer,50,M,3,Post-Graduate,Single,$120K +,Blue
Existing Customer,73,M,0,High School,Married,$40K - $60K,Blue
Existing Customer,56,M,3,Unknown,Unknown,$40K - $60K,Blue
Attrited Customer,59,M,0,High School,Single,$40K - $60K,Blue
Existing Customer,70,M,0,High School,Married,Less than $40K,Blue
Existing Customer,55,F,2,High School,Married,Less than $40K,Blue
Existing Customer,43,M,4,Unknown,Single,$60K - $80K,Blue
Existing Customer,45,M,1,Uneducated,Single,$120K +,Blue
Existing Customer,45,F,2,Uneducated,Single,$40K - $60K,Blue
Existing Customer,40,M,1,Graduate,Married,$40K - $60K,Blue
Existing Customer,36,M,2,College,Unknown,$80K - $120K,Blue
Attrited Customer,59,F,0,Post-Graduate,Married,$40K - $60K,Blue
Existing Customer,43,M,4,Unknown,Married,$60K - $80K,Blue
Existing Customer,46,F,1,Unknown,Married,Less than $40K,Blue
Existing Customer,41,M,2,Uneducated,Married,$40K - $60K,Blue
Existing Customer,51,F,2,Graduate,Married,Less than $40K,Blue
Existing Customer,51,F,3,Unknown,Unknown,Less than $40K,Blue
Existing Customer,43,F,4,Graduate,Divorced,Unknown,Blue
Attrited Customer,64,F,0,High School,Married,$40K - $60K,Blue
Existing Customer,54,M,5,Graduate,Married,$60K - $80K,Blue
Existing Customer,48,M,3,Unknown,Single,$40K - $60K,Blue
Existing Customer,40,M,2,Uneducated,Divorced,$60K - $80K,Blue
Existing Customer,57,M,0,Uneducated,Married,$40K - $60K,Blue
Existing Customer,45,M,4,Graduate,Single,$80K - $120K,Blue
Existing Customer,41,M,3,High School,Single,$80K - $120K,Blue
Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue
Attrited Customer,45,M,2,Graduate,Single,$60K - $80K,Blue
Existing Customer,42,F,4,Uneducated,Married,Less than $40K,Blue
Existing Customer,47,M,4,Uneducated,Divorced,$80K - $120K,Blue
Existing Customer,48,F,4,High School,Married,$40K - $60K,Blue
Existing Customer,43,M,1,Graduate,Single,$80K - $120K,Silver
Existing Customer,41,M,4,High School,Unknown,$80K - $120K,Blue
Existing Customer,54,F,1,Uneducated,Married,$40K - $60K,Blue
Attrited Customer,54,F,2,High School,Married,Unknown,Blue
Existing Customer,61,M,0,Graduate,Married,$40K - $60K,Blue
Existing Customer,61,M,0,Uneducated,Married,$80K - $120K,Blue
Attrited Customer,48,M,2,High School,Married,$120K +,Blue
Existing Customer,45,F,4,Graduate,Single,Less than $40K,Blue
Attrited Customer,54,F,4,Graduate,Married,Unknown,Blue
Existing Customer,54,F,3,Doctorate,Married,Unknown,Blue
Existing Customer,44,M,3,Graduate,Single,$60K - $80K,Blue
Existing Customer,50,F,4,Doctorate,Single,Unknown,Blue
Existing Customer,55,M,2,Doctorate,Married,$60K - $80K,Blue
Existing Customer,48,M,2,Graduate,Unknown,$40K - $60K,Blue
Existing Customer,45,M,2,College,Single,$60K - $80K,Blue
Existing Customer,60,M,0,High School,Married,$40K - $60K,Blue
Existing Customer,55,M,2,High School,Married,$40K - $60K,Blue
Existing Customer,62,F,0,High School,Married,$40K - $60K,Blue
Existing Customer,38,F,1,High School,Unknown,Less than $40K,Blue
Existing Customer,46,M,3,High School,Single,$40K - $60K,Blue
Existing Customer,50,M,0,High School,Single,$120K +,Silver
Existing Customer,45,M,2,Uneducated,Married,$60K - $80K,Blue
Existing Customer,47,M,3,Post-Graduate,Divorced,$60K - $80K,Blue
Existing Customer,48,M,4,College,Married,$60K - $80K,Gold
Existing Customer,35,M,3,Uneducated,Married,$60K - $80K,Blue
Existing Customer,51,M,2,Graduate,Married,$120K +,Blue
Existing Customer,36,F,3,High School,Married,Unknown,Blue
Existing Customer,47,M,4,Graduate,Single,$80K - $120K,Blue
Existing Customer,52,M,2,Graduate,Single,$120K +,Blue
Existing Customer,43,F,4,Uneducated,Married,Less than $40K,Blue
Existing Customer,63,M,2,High School,Married,$40K - $60K,Blue
Existing Customer,61,M,0,Graduate,Married,$60K - $80K,Blue
Existing Customer,53,M,2,Uneducated,Single,$60K - $80K,Blue
Existing Customer,53,F,3,Graduate,Married,Less than $40K,Blue
Attrited Customer,57,M,3,Graduate,Married,$120K +,Blue
Existing Customer,38,F,2,Graduate,Single,Unknown,Blue
Existing Customer,53,M,3,High School,Married,$60K - $80K,Blue
Existing Customer,63,F,0,Unknown,Married,Less than $40K,Blue
Existing Customer,49,F,4,High School,Married,Less than $40K,Blue
Existing Customer,45,M,2,High School,Married,$80K - $120K,Blue
Existing Customer,67,M,0,Graduate,Married,$40K - $60K,Blue
Existing Customer,48,M,3,Graduate,Single,$80K - $120K,Silver
Existing Customer,51,F,2,Uneducated,Divorced,Less than $40K,Blue
Existing Customer,52,M,2,High School,Single,$80K - $120K,Silver
Existing Customer,55,F,2,Uneducated,Married,Unknown,Blue
Existing Customer,34,M,3,High School,Married,$60K - $80K,Blue
Existing Customer,56,M,1,Uneducated,Married,$120K +,Blue
Existing Customer,44,F,2,Post-Graduate,Married,Less than $40K,Blue
Existing Customer,47,M,3,Post-Graduate,Unknown,$80K - $120K,Blue
Existing Customer,46,F,3,Unknown,Married,Less than $40K,Blue
Existing Customer,43,F,3,Graduate,Single,$40K - $60K,Blue
Existing Customer,50,F,1,Graduate,Single,Less than $40K,Blue
Existing Customer,38,F,4,Uneducated,Single,Less than $40K,Blue
Existing Customer,53,F,1,Graduate,Single,Less than $40K,Blue
Existing Customer,43,M,5,Graduate,Divorced,$120K +,Silver
Existing Customer,53,M,1,High School,Married,$120K +,Blue
Existing Customer,56,F,1,Graduate,Married,Less than $40K,Blue
Attrited Customer,54,M,2,Unknown,Married,$40K - $60K,Blue
Existing Customer,57,F,3,High School,Married,Less than $40K,Blue
Existing Customer,62,M,1,High School,Married,Less than $40K,Blue
Existing Customer,46,F,4,Graduate,Single,Less than $40K,Blue
Existing Customer,49,M,2,Uneducated,Married,$60K - $80K,Blue
Existing Customer,52,M,3,Graduate,Single,$80K - $120K,Blue
Attrited Customer,58,M,1,Uneducated,Married,$40K - $60K,Blue
Existing Customer,54,M,0,High School,Married,$80K - $120K,Blue
Existing Customer,49,M,1,Graduate,Married,$120K +,Blue
Existing Customer,58,F,3,High School,Married,Less than $40K,Blue
Existing Customer,52,M,2,High School,Single,$60K - $80K,Blue
Existing Customer,41,M,5,High School,Married,$60K - $80K,Blue
Existing Customer,62,F,0,Uneducated,Married,Less than $40K,Blue
Existing Customer,54,M,2,Graduate,Married,Less than $40K,Blue
Existing Customer,40,F,3,High School,Divorced,Less than $40K,Blue
Existing Customer,43,M,3,Graduate,Married,$80K - $120K,Blue
Existing Customer,53,F,2,Graduate,Single,$40K - $60K,Blue
Existing Customer,55,M,1,Uneducated,Single,$40K - $60K,Blue
Existing Customer,46,M,4,Graduate,Single,$60K - $80K,Blue
Existing Customer,41,M,1,Uneducated,Married,$60K - $80K,Blue
Existing Customer,49,M,3,Uneducated,Single,$60K - $80K,Blue
Existing Customer,61,F,0,Graduate,Married,Unknown,Blue
Existing Customer,46,M,2,Uneducated,Married,$80K - $120K,Blue
Existing Customer,50,F,1,Uneducated,Married,Less than $40K,Blue
Existing Customer,40,M,2,Graduate,Single,$80K - $120K,Blue
Existing Customer,51,M,4,High School,Single,$120K +,Blue
Existing Customer,50,F,2,Graduate,Married,$40K - $60K,Blue
Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue
Existing Customer,43,M,4,Unknown,Married,$120K +,Blue
Existing Customer,36,F,4,Graduate,Married,$40K - $60K,Blue
Existing Customer,47,F,2,Graduate,Married,Less than $40K,Blue
Existing Customer,46,F,2,Graduate,Single,Less than $40K,Blue
Existing Customer,46,M,2,High School,Married,$120K +,Blue
Existing Customer,52,M,0,Uneducated,Married,$60K - $80K,Blue
Existing Customer,43,M,4,Unknown,Married,$40K - $60K,Blue
Existing Customer,40,F,4,Graduate,Single,Less than $40K,Blue
Existing Customer,54,F,4,High School,Married,Less than $40K,Blue
Existing Customer,55,F,1,High School,Single,Less than $40K,Blue
Existing Customer,49,F,4,Post-Graduate,Single,Unknown,Blue
Existing Customer,45,M,4,High School,Married,$40K - $60K,Blue
Existing Customer,49,M,3,Graduate,Married,$40K - $60K,Blue
Existing Customer,63,M,1,Uneducated,Married,$80K - $120K,Blue
Existing Customer,40,F,3,High School,Single,Less than $40K,Gold
Existing Customer,41,F,2,Graduate,Married,Less than $40K,Silver
Existing Customer,37,M,4,Graduate,Married,$80K - $120K,Blue
Existing Customer,58,M,2,Uneducated,Unknown,$120K +,Blue
Existing Customer,55,M,2,High School,Married,$60K - $80K,Blue
Existing Customer,53,F,1,High School,Married,Less than $40K,Blue
Existing Customer,57,M,2,Graduate,Married,$80K - $120K,Blue
Attrited Customer,43,M,4,Post-Graduate,Unknown,$80K - $120K,Blue
Existing Customer,58,M,1,Graduate,Married,$60K - $80K,Blue
Existing Customer,64,M,0,Unknown,Married,Less than $40K,Blue
Existing Customer,54,F,2,Graduate,Married,Less than $40K,Blue
Existing Customer,53,M,2,Graduate,Married,$60K - $80K,Blue
Existing Customer,39,F,3,College,Single,Less than $40K,Blue
Existing Customer,56,M,3,High School,Married,$60K - $80K,Blue
Existing Customer,54,F,4,Unknown,Divorced,Less than $40K,Blue
Existing Customer,59,F,1,Post-Graduate,Married,$40K - $60K,Blue
Existing Customer,42,M,3,Uneducated,Single,$40K - $60K,Blue
Existing Customer,42,M,4,Graduate,Married,$60K - $80K,Silver
Existing Customer,43,M,3,College,Unknown,$80K - $120K,Blue
Existing Customer,55,M,0,High School,Married,$120K +,Blue
Existing Customer,52,M,1,Uneducated,Single,$80K - $120K,Blue
Existing Customer,46,M,1,Uneducated,Unknown,$40K - $60K,Blue
Attrited Customer,57,M,2,Uneducated,Married,$120K +,Blue
Existing Customer,48,M,3,College,Married,$80K - $120K,Blue
Existing Customer,45,M,4,Unknown,Married,$120K +,Blue
Existing Customer,48,M,2,High School,Married,$120K +,Blue
Existing Customer,47,M,1,Graduate,Single,$40K - $60K,Blue
Attrited Customer,42,M,3,College,Married,$60K - $80K,Blue
Existing Customer,41,M,2,Graduate,Unknown,$60K - $80K,Silver
Existing Customer,51,M,4,College,Married,$120K +,Silver
Existing Customer,55,F,2,Graduate,Single,Less than $40K,Blue
Existing Customer,67,M,1,Uneducated,Married,$40K - $60K,Blue
Existing Customer,39,M,1,Graduate,Married,$60K - $80K,Blue
Existing Customer,54,M,3,Post-Graduate,Single,$60K - $80K,Blue
Existing Customer,55,F,2,Unknown,Married,Less than $40K,Blue
Existing Customer,47,M,3,High School,Married,$40K - $60K,Silver
Existing Customer,49,M,2,Post-Graduate,Married,$60K - $80K,Blue
Attrited Customer,42,F,2,Graduate,Married,Less than $40K,Blue
Existing Customer,57,M,2,Unknown,Single,$80K - $120K,Blue
Existing Customer,44,M,5,Uneducated,Married,$60K - $80K,Blue
Existing Customer,56,M,3,Unknown,Single,$60K - $80K,Blue
Attrited Customer,49,F,3,Graduate,Married,Less than $40K,Blue
Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue
Existing Customer,63,M,0,High School,Married,$60K - $80K,Blue
Existing Customer,44,M,3,Graduate,Single,$80K - $120K,Blue
Existing Customer,44,F,4,College,Married,Less than $40K,Silver
Existing Customer,40,M,3,High School,Married,$40K - $60K,Blue
Attrited Customer,39,M,2,Uneducated,Single,$60K - $80K,Blue
Existing Customer,42,M,4,High School,Married,$80K - $120K,Blue
Existing Customer,54,M,3,High School,Married,$120K +,Blue
Attrited Customer,58,F,4,Unknown,Married,Less than $40K,Blue
Existing Customer,46,F,4,Graduate,Divorced,Less than $40K,Blue
